sigma_ms,deficit_p,false_rate,n_windows,logreg_auroc,logreg_ci_lo,logreg_ci_hi,gbt_auroc,gbt_ci_lo,gbt_ci_hi
5.0,0.3,0.03,455,0.9838640610401744,0.9522342209072978,0.9999455950032873,0.9905597944565556,0.9728762237762237,1.0
5.0,0.5,0.03,455,0.984701027717222,0.9546077173574533,1.0,0.993703285580816,0.9812809644567886,1.0
5.0,0.7,0.03,455,0.986141388975397,0.9589954763742389,1.0,0.9877861258175024,0.9644753935104613,0.9999172568884107
10.0,0.3,0.03,455,0.9832022734350669,0.9488765227984685,0.9999231349344472,0.9857521021488633,0.9561031415446902,1.0
10.0,0.5,0.03,455,0.9848372781065089,0.9541415252257864,0.9999379318905947,0.987834786670819,0.9638578129866086,0.9999617322722526
10.0,0.7,0.03,455,0.9866279975085643,0.959268530052943,0.9999748279334078,0.9883213952039863,0.9658010033272106,0.9999357814903682
15.0,0.3,0.03,455,0.9815283400809717,0.943329165985921,1.0,0.9812169106197446,0.9468271803447388,0.9999400583490407
15.0,0.5,0.03,455,0.9831438804110869,0.9486324881123017,1.0,0.9802242292120834,0.9458429436863502,0.9998356039564831
15.0,0.7,0.03,455,0.9853433509810028,0.9541345081896921,1.0,0.9899563998754282,0.9715531181874805,0.9999412357430753
20.0,0.3,0.03,455,0.9800490501401432,0.9366503406096166,1.0,0.9890805045157272,0.9683824874758941,0.9997517275623784
20.0,0.5,0.03,455,0.9816061974462784,0.9418254097368302,1.0,0.9911047960137029,0.9737346219159655,0.9997184622058104
20.0,0.7,0.03,455,0.9847594207412022,0.9521528599605523,1.0,0.9938103394581127,0.9794033237970783,0.9999173777454321
30.0,0.3,0.03,455,0.9723995639987543,0.9186218377497642,0.9999420323331294,0.9790077078791654,0.9335406200941916,1.0
30.0,0.5,0.03,455,0.9713679539084398,0.9149094442510732,0.9999605522682445,0.9802144970414202,0.9382485207100592,1.0
30.0,0.7,0.03,455,0.9756306446589847,0.9278189725987208,0.9999802761341223,0.9813920896916848,0.9467348125053084,1.0
