sigma_ms,false_rate,deficit_p,n_windows,auroc,ci_lo,ci_hi,sens_at_0.5,spec_at_0.5
10.0,0.03,0.5,910,0.9866133992525693,0.9544074138531152,0.9999953155818541,0.9919028340080972,0.9543269230769231
15.0,0.03,0.5,910,0.9862338445966988,0.9523732717939246,0.999990239586959,0.9878542510121457,0.9543269230769231
20.0,0.03,0.5,910,0.986068397695422,0.9525474020969334,0.9999707187608771,0.9878542510121457,0.9495192307692307
30.0,0.03,0.5,910,0.9821366007474307,0.9417085199786115,0.9995299229159119,0.9757085020242915,0.9447115384615384
40.0,0.03,0.5,910,0.9764384148240424,0.9277425854365414,0.9986753200293924,0.9696356275303644,0.9375
50.0,0.03,0.5,910,0.9714750077857365,0.918193936844955,0.9974236932938856,0.9574898785425101,0.9278846153846154
60.0,0.03,0.5,910,0.9666721815633759,0.9107855669602547,0.9954310897435897,0.951417004048583,0.9110576923076923
10.0,0.08,0.5,910,0.9873676424789785,0.9582893413775766,0.9999361439842209,0.9858299595141701,0.9567307692307693
15.0,0.08,0.5,910,0.9862387106820305,0.9544845206327107,0.9999192008649246,0.9777327935222672,0.9471153846153846
20.0,0.08,0.5,910,0.9856742447835565,0.952420161851723,0.9998768516282253,0.9777327935222672,0.9471153846153846
30.0,0.08,0.5,910,0.9794164590470259,0.9349120682987199,0.9993110278220301,0.97165991902834,0.9399038461538461
40.0,0.08,0.5,910,0.9735382279663656,0.9197233088844834,0.9982841179371157,0.9676113360323887,0.9375
50.0,0.08,0.5,910,0.967309638741825,0.909941571263185,0.996171346682164,0.9352226720647774,0.9182692307692307
60.0,0.08,0.5,910,0.9637476642790408,0.9042298291312924,0.9947111686390532,0.9311740890688259,0.9038461538461539
